year,team,seed,adj_em,adj_o,adj_d,tempo,sos,barthag,wab,elite_sos,ncsos,conf_winpct
2011,UNC Asheville,16,-0.26,99.81,100.08,270.0,0.3929,0.492396,-8.0,0.856,0.6051,0.6111
2011,UNLV,8,17.78,110.69,92.91,119.0,0.6391,0.882175,2.82,0.7342,0.5653,0.6875
2011,UTSA,16,-2.8,102.9,105.69,134.0,0.3863,0.42353,-9.08,0.8917,0.4435,0.5625
2011,Utah State,12,18.74,110.62,91.89,73.0,0.5186,0.894179,3.83,0.8401,0.4859,0.9375
2011,VCU,11,12.76,112.63,99.87,41.0,0.6121,0.799476,-1.93,0.7663,0.5614,0.6667
2011,Vanderbilt,5,17.7,117.0,99.3,170.0,0.6675,0.868325,1.8,0.7293,0.5688,0.5625
2011,Villanova,9,17.04,114.8,97.76,187.0,0.6994,0.863885,1.36,0.7059,0.5179,0.5
2011,Washington,7,21.22,118.37,97.15,282.0,0.7003,0.906575,1.74,0.7268,0.5811,0.6111
2011,West Virginia,5,20.32,115.53,95.22,180.0,0.7627,0.902387,2.93,0.6391,0.6768,0.6111
2011,Wisconsin,4,25.23,123.05,97.83,124.0,0.7221,0.933277,5.64,0.644,0.4804,0.7222
2011,Wofford,14,8.89,112.33,103.44,268.0,0.4904,0.720728,-4.52,0.8263,0.6163,0.7778
2011,Xavier,6,14.69,111.98,97.28,40.0,0.6234,0.834488,2.4,0.7745,0.664,0.9375
2012,,4,33.07,123.5,90.43,33.0,0.6869,0.973001,11.25,0.696,0.5298,1.0
2012,Alabama,9,15.82,105.53,89.71,246.0,0.6903,0.866159,1.56,0.7277,0.6234,0.5625
2012,BYU,14,11.03,104.9,93.86,60.0,0.541,0.782096,0.42,0.8098,0.5307,0.75
2012,Baylor,3,20.85,116.43,95.59,23.0,0.6878,0.906253,6.96,0.6843,0.4869,0.6667
2012,Belmont,14,16.34,116.65,100.31,202.0,0.4976,0.850128,0.93,0.832,0.5702,0.8889
2012,Cincinnati,6,17.84,110.71,92.87,123.0,0.654,0.882952,2.99,0.7099,0.3795,0.6667
2012,Colorado,11,10.41,105.03,94.61,53.0,0.6354,0.768693,-0.28,0.7646,0.5474,0.6111
2012,Colorado State,11,8.63,111.44,102.81,44.0,0.6204,0.716516,-0.94,0.7804,0.5458,0.5714
2012,Connecticut,9,14.78,111.0,96.22,229.0,0.7051,0.837998,0.47,0.7107,0.551,0.4444
2012,Creighton,8,15.73,119.4,103.67,9.0,0.5967,0.835359,4.77,0.7897,0.5244,0.7778
2012,Davidson,13,11.69,111.78,100.09,151.0,0.4558,0.780815,-0.32,0.8448,0.6934,0.8889
2012,Detroit,15,4.67,107.48,102.81,148.0,0.5196,0.624974,0.0,0.8366,0.5394,0.6111
2012,Duke,2,20.32,117.19,96.87,18.0,0.7084,0.899316,7.98,0.7001,0.6833,0.8125
2012,Florida,7,23.91,121.78,97.87,254.0,0.6667,0.925098,3.05,0.698,0.512,0.625
2012,Florida State,3,23.91,121.78,97.87,254.0,0.6667,0.925098,3.05,0.698,0.512,0.625
2012,Georgetown,3,20.92,111.65,90.73,187.0,0.701,0.91574,4.62,0.6942,0.5401,0.6667
2012,Gonzaga,7,18.2,113.39,95.19,171.0,0.5615,0.882102,2.13,0.8109,0.5675,0.8125
2012,Harvard,12,13.69,108.7,95.01,43.0,0.4862,0.824645,2.33,0.853,0.5191,0.8571
2012,Indiana,4,22.98,121.16,98.18,83.0,0.6809,0.91819,5.73,0.6786,0.4579,0.6111
2012,Iowa State,8,17.16,113.87,96.71,156.0,0.654,0.867465,1.87,0.7188,0.4591,0.6667
2012,Kansas,2,25.52,114.13,88.61,50.0,0.7234,0.948365,8.22,0.6561,0.6125,0.8889
2012,Kansas State,8,16.2,109.36,93.16,144.0,0.6618,0.863415,2.11,0.7124,0.4657,0.5556
2012,Kentucky,1,33.07,123.5,90.43,33.0,0.6869,0.973001,11.25,0.696,0.5298,1.0
2012,Lehigh,15,8.3,107.56,99.26,80.0,0.4021,0.715806,-1.12,0.8639,0.3921,0.7857
2012,Long Beach State,12,12.71,109.3,96.59,102.0,0.5212,0.8056,0.98,0.7867,0.7733,0.9375
2012,Long Island,16,1.33,109.27,107.94,8.0,0.4094,0.535245,0.0,0.8829,0.4498,0.8889
2012,Loyola (MD),15,3.35,103.49,100.14,11.0,0.4448,0.593449,-1.38,0.8464,0.4695,0.7222
2012,Marquette,3,19.16,111.24,92.08,31.0,0.696,0.897858,6.08,0.7009,0.5222,0.7778
2012,Memphis,8,21.31,113.73,92.41,285.0,0.6366,0.915806,3.0,0.7763,0.6626,0.8125
2012,Michigan,4,17.83,114.72,96.89,20.0,0.718,0.874674,6.24,0.6493,0.5395,0.7222
2012,Michigan State,1,25.99,114.29,88.3,131.0,0.7121,0.951042,8.58,0.6522,0.5208,0.7222
2012,Missouri,2,25.96,126.21,100.25,56.0,0.6288,0.933931,8.74,0.7444,0.4364,0.7778
2012,Montana,13,5.98,102.43,96.45,59.0,0.4054,0.66631,-1.54,0.8933,0.5072,0.9375
2012,Murray State,6,13.18,106.93,93.75,7.0,0.4369,0.819411,3.91,0.8768,0.5881,0.9375
2012,NC State,11,15.46,112.65,97.18,160.0,0.6493,0.845288,0.0,0.7225,0.5562,0.5625
2012,New Mexico,5,19.14,110.77,91.63,200.0,0.5776,0.898526,2.92,0.8092,0.4459,0.7143
2012,New Mexico State,13,9.0,107.76,98.76,139.0,0.4939,0.731732,-1.87,0.855,0.5,0.7143
2012,Norfolk State,15,-2.12,100.0,102.12,1.0,0.3845,0.440098,-2.67,0.8648,0.5292,0.8125
2012,North Carolina,1,25.91,116.46,90.55,96.0,0.6741,0.947547,8.35,0.7111,0.5531,0.875
2012,Notre Dame,7,12.21,109.92,97.71,34.0,0.6596,0.794718,2.22,0.714,0.4581,0.7222
2012,Ohio,13,12.04,106.89,94.85,48.0,0.5232,0.798054,0.45,0.8314,0.4533,0.6875
2012,Ohio State,2,29.78,117.9,88.12,242.0,0.7093,0.96603,7.71,0.6631,0.4851,0.7222
2012,Purdue,10,18.31,117.83,99.53,210.0,0.6846,0.874537,1.75,0.6857,0.4918,0.5556
2012,Saint Louis,9,20.88,111.75,90.88,251.0,0.6201,0.915131,2.77,0.7702,0.4794,0.75
2012,Saint Mary's,7,12.94,112.53,99.6,19.0,0.5203,0.802858,2.86,0.8195,0.4903,0.875
2012,San Diego State,6,10.15,106.3,96.15,3.0,0.5934,0.76024,2.92,0.7802,0.4661,0.7143
2012,South Dakota State,14,11.65,112.72,101.07,136.0,0.4729,0.778043,-0.41,0.8637,0.5411,0.8333
