year,round,game_id,team1,seed1,team2,seed2,winner,score1,score2
2017,round_of_64,2017_round_of_64_459,Princeton,12,Notre Dame,5,Notre Dame,58,60
2017,round_of_64,2017_round_of_64_460,West Virginia,4,Bucknell,13,West Virginia,86,80
2017,round_of_64,2017_round_of_64_461,Xavier,11,Maryland,6,Xavier,76,65
2017,round_of_64,2017_round_of_64_462,Florida State,3,Florida Gulf Coast,14,Florida State,86,80
2017,round_of_64,2017_round_of_64_463,Saint Mary's,7,VCU,10,Saint Mary's,85,77
2017,round_of_64,2017_round_of_64_464,Arizona,2,North Dakota,15,Arizona,100,82
2017,round_of_32,2017_round_of_32_465,Northwestern,8,Gonzaga,1,Gonzaga,73,79
2017,round_of_32,2017_round_of_32_466,West Virginia,4,Notre Dame,5,West Virginia,83,71
2017,round_of_32,2017_round_of_32_467,Xavier,11,Florida State,3,Xavier,91,66
2017,round_of_32,2017_round_of_32_468,Saint Mary's,7,Arizona,2,Arizona,60,69
2017,sweet_16,2017_sweet_16_469,West Virginia,4,Gonzaga,1,Gonzaga,58,61
2017,sweet_16,2017_sweet_16_470,Xavier,11,Arizona,2,Xavier,73,71
2017,elite_8,2017_elite_8_471,Gonzaga,1,Xavier,11,Gonzaga,83,59
2017,round_of_64,2017_round_of_64_472,UC Davis,16,Kansas,1,Kansas,62,100
2017,round_of_64,2017_round_of_64_473,Michigan State,9,Miami (FL),8,Michigan State,78,58
2017,round_of_64,2017_round_of_64_474,Iowa State,5,Nevada,12,Iowa State,84,73
2017,round_of_64,2017_round_of_64_475,Purdue,4,Vermont,13,Purdue,80,70
2017,round_of_64,2017_round_of_64_476,Creighton,6,Rhode Island,11,Rhode Island,72,84
2017,round_of_64,2017_round_of_64_477,Iona,14,Oregon,3,Oregon,77,93
2017,round_of_64,2017_round_of_64_478,Oklahoma State,10,Michigan,7,Michigan,91,92
2017,round_of_64,2017_round_of_64_479,Jacksonville State,15,Louisville,2,Louisville,63,78
2017,round_of_32,2017_round_of_32_480,Michigan State,9,Kansas,1,Kansas,70,90
2017,round_of_32,2017_round_of_32_481,Purdue,4,Iowa State,5,Purdue,80,76
2017,round_of_32,2017_round_of_32_482,Oregon,3,Rhode Island,11,Oregon,75,72
2017,round_of_32,2017_round_of_32_483,Michigan,7,Louisville,2,Michigan,73,69
2017,sweet_16,2017_sweet_16_484,Purdue,4,Kansas,1,Kansas,66,98
2017,sweet_16,2017_sweet_16_485,Michigan,7,Oregon,3,Oregon,68,69
2017,elite_8,2017_elite_8_486,Kansas,1,Oregon,3,Oregon,60,74
2017,round_of_64,2017_round_of_64_487,North Carolina,1,Texas Southern,16,North Carolina,103,64
2017,round_of_64,2017_round_of_64_488,Seton Hall,9,Arkansas,8,Arkansas,71,77
2017,round_of_64,2017_round_of_64_489,Minnesota,5,Middle Tennessee,12,Middle Tennessee,72,81
2017,round_of_64,2017_round_of_64_490,Winthrop,13,Butler,4,Butler,64,76
2017,round_of_64,2017_round_of_64_491,Cincinnati,6,Kansas State,11,Cincinnati,75,61
2017,round_of_64,2017_round_of_64_492,UCLA,3,Kent State,14,UCLA,97,80
2017,round_of_64,2017_round_of_64_493,Wichita State,10,Dayton,7,Wichita State,64,58
2017,round_of_64,2017_round_of_64_494,Kentucky,2,Northern Kentucky,15,Kentucky,79,70
2017,round_of_32,2017_round_of_32_495,North Carolina,1,Arkansas,8,North Carolina,72,65
2017,round_of_32,2017_round_of_32_496,Middle Tennessee,12,Butler,4,Butler,65,74
2017,round_of_32,2017_round_of_32_497,UCLA,3,Cincinnati,6,UCLA,79,67
2017,round_of_32,2017_round_of_32_498,Kentucky,2,Wichita State,10,Kentucky,65,62
2017,sweet_16,2017_sweet_16_499,North Carolina,1,Butler,4,North Carolina,92,80
2017,sweet_16,2017_sweet_16_500,Kentucky,2,UCLA,3,Kentucky,86,75
2017,elite_8,2017_elite_8_501,Kentucky,2,North Carolina,1,North Carolina,73,75
2017,final_four,2017_final_four_502,Gonzaga,1,South Carolina,7,Gonzaga,77,73
2017,final_four,2017_final_four_503,North Carolina,1,Oregon,3,North Carolina,77,76
2017,championship,2017_championship_504,Gonzaga,1,North Carolina,1,North Carolina,65,71
2018,round_of_64,2018_round_of_64_505,UMBC,16,Virginia,1,UMBC,74,54
2018,round_of_64,2018_round_of_64_506,Creighton,8,Kansas State,9,Kansas State,59,69
2018,round_of_64,2018_round_of_64_507,Kentucky,5,Davidson,12,Kentucky,78,73
2018,round_of_64,2018_round_of_64_508,Buffalo,13,Arizona,4,Buffalo,89,68
2018,round_of_64,2018_round_of_64_509,Loyola–Chicago,11,Miami (FL),6,Loyola–Chicago,64,62
2018,round_of_64,2018_round_of_64_510,Tennessee,3,Wright State,14,Tennessee,73,47
2018,round_of_64,2018_round_of_64_511,Nevada,7,Texas,10,Nevada,87,83
2018,round_of_64,2018_round_of_64_512,Cincinnati,2,Georgia State,15,Cincinnati,68,53
2018,round_of_32,2018_round_of_32_513,UMBC,16,Kansas State,9,Kansas State,43,50
2018,round_of_32,2018_round_of_32_514,Kentucky,5,Buffalo,13,Kentucky,95,75
2018,round_of_32,2018_round_of_32_515,Tennessee,3,Loyola–Chicago,11,Loyola–Chicago,62,63
2018,round_of_32,2018_round_of_32_516,Cincinnati,2,Nevada,7,Nevada,73,75
2018,sweet_16,2018_sweet_16_517,Kansas State,9,Kentucky,5,Kansas State,61,58
2018,sweet_16,2018_sweet_16_518,Loyola–Chicago,11,Nevada,7,Loyola–Chicago,69,68
2018,elite_8,2018_elite_8_519,Loyola–Chicago,11,Kansas State,9,Loyola–Chicago,78,62
2018,round_of_64,2018_round_of_64_520,Texas Southern,16,Xavier,1,Xavier,83,102
2018,round_of_64,2018_round_of_64_521,Missouri,8,Florida State,9,Florida State,54,67
2018,round_of_64,2018_round_of_64_522,Ohio State,5,South Dakota State,12,Ohio State,81,73
2018,round_of_64,2018_round_of_64_523,UNC Greensboro,13,Gonzaga,4,Gonzaga,64,68
2018,round_of_64,2018_round_of_64_524,San Diego State,11,Houston,6,Houston,65,67
2018,round_of_64,2018_round_of_64_525,Montana,14,Michigan,3,Michigan,47,61
2018,round_of_64,2018_round_of_64_526,Providence,10,Texas A&M,7,Texas A&M,69,73
2018,round_of_64,2018_round_of_64_527,Lipscomb,15,North Carolina,2,North Carolina,66,84
2018,round_of_32,2018_round_of_32_528,Florida State,9,Xavier,1,Florida State,75,70
2018,round_of_32,2018_round_of_32_529,Gonzaga,4,Ohio State,5,Gonzaga,90,84
2018,round_of_32,2018_round_of_32_530,Michigan,3,Houston,6,Michigan,64,63
2018,round_of_32,2018_round_of_32_531,Texas A&M,7,North Carolina,2,Texas A&M,86,65
2018,sweet_16,2018_sweet_16_532,Gonzaga,4,Florida State,9,Florida State,60,75
